"","x"
"1173",0.866
"1174",0.868
"1175",0.87
"1176",0.879
"1177",0.865
"1178",0.873
"1179",0.854
"1180",0.863
"1181",0.887
"1182",0.876
"1183",0.859
"1184",0.865
"1185",0.866
"1186",0.861
"1187",0.876
"1188",0.864
"1189",0.864
"1190",0.857
"1191",0.874
"1192",0.853
"1193",0.845
"1194",0.865
"1195",0.869
"1196",0.863
"1197",0.852
"1198",0.863
"1199",0.848
"1200",0.857
"1201",0.86
"1202",0.871
"1203",0.869
"1204",0.876
"1205",0.864
"1206",0.841
"1207",0.859
"1208",0.876
"1209",0.883
"1210",0.865
"1211",0.845
"1212",0.848
"1213",0.879
"1214",0.835
"1215",0.847
"1216",0.853
"1217",0.856
"1218",0.852
"1219",0.857
"1220",0.877
"1221",0.87
"1222",0.855
"1223",0.859
"1224",0.853573
"1225",0.861569
"1226",0.878
"1227",0.853
"1228",0.856
"1229",0.862
"1230",0.867
"1231",0.868
"1232",0.871
"1233",0.873
"1234",0.8445775
"1235",0.884
"1236",0.873
"1237",0.858
"1238",0.857
"1239",0.881
"1240",0.863
"1241",0.862
"1242",0.858
"1243",0.857
"1244",0.84
"1245",0.841
"1246",0.87
"1247",0.86
"1248",0.853
"1249",0.861
"1250",0.856
"1251",0.866
"1252",0.839
"1253",0.869
"1254",0.87
"1255",0.853
"1256",0.884
"1257",0.864
"1258",0.86
"1259",0.867
"1260",0.867
"1261",0.857
"1262",0.863
"1263",0.852
"1264",0.871
"1265",0.887
"1266",0.867
"1267",0.854
"1268",0.864
"1269",0.863
"1270",0.849
"1271",0.859
"1272",0.863
"1273",0.854
"1274",0.849
"1275",0.859
"1276",0.869
"1277",0.879
"1278",0.864
"1279",0.857
"1280",0.874
"1281",0.868
"1282",0.859
"1283",0.8445775
"1284",0.869
"1285",0.871
"1286",0.868
"1287",0.85
"1288",0.864
"1289",0.857
"1290",0.865
"1291",0.871
"1292",0.846
"1293",0.859
"1294",0.8825585
"1295",0.875562
"1296",0.8665665
"1297",0.867
"1298",0.873
"1299",0.871
"1300",0.846
"1301",0.856
"1302",0.867
"1303",0.863
"1304",0.863
"1305",0.895
"1306",0.872
"1307",0.868
"1308",0.866
"1309",0.872
"1310",0.874
"1311",0.867
"1312",0.887
"1313",0.862
"1314",0.867
"1315",0.86
"1316",0.855
"1317",0.889
"1318",0.866
"1319",0.874
"1320",0.876
"1321",0.851
"1322",0.863
"1323",0.848
"1324",0.871
"1325",0.839
"1326",0.863
"1327",0.862
"1328",0.861
"1329",0.867
"1330",0.869
"1331",0.85
"1332",0.84
"1333",0.862
"1334",0.871
"1335",0.863
"1336",0.854
"1337",0.866
"1338",0.87
"1339",0.854
"1340",0.839
"1341",0.862
"1342",0.843
"1343",0.8745625
"1344",0.865
"1345",0.876
"1346",0.837581
"1347",0.848
"1348",0.861
"1349",0.856
"1350",0.8785605
"1351",0.867
"1352",0.879
"1353",0.863
"1354",0.877
"1355",0.841
"1356",0.864
"1357",0.891
"1358",0.85
"1359",0.866
"1360",0.861
"1361",0.876
"1362",0.869
"1363",0.88
"1364",0.863
"1365",0.874
"1366",0.859
"1367",0.853
"1368",0.85
"1369",0.849
"1370",0.866
"1371",0.862
"1372",0.86
"1373",0.86
"1374",0.868
"1375",0.85
"1376",0.873
"1377",0.859
"1378",0.854
"1379",0.853
"1380",0.865
"1381",0.8485755
"1382",0.8545725
"1383",0.876
"1384",0.859
"1385",0.888
"1386",0.858
"1387",0.862
"1388",0.851
"1389",0.857
"1390",0.86
"1391",0.851
"1392",0.863
"1393",0.871
"1394",0.853
"1395",0.849
"1396",0.884
"1397",0.853
"1398",0.858
"1399",0.869
"1400",0.861
"1401",0.857
"1402",0.872
"1403",0.861
"1404",0.866
"1405",0.857
"1406",0.875
"1407",0.856
"1408",0.859
"1409",0.866
"1410",0.851574
"1411",0.869565
"1412",0.855572
"1413",0.87
"1414",0.848
"1415",0.876
"1416",0.857
"1417",0.879
"1418",0.86
"1419",0.863
"1420",0.874
"1421",0.872
"1422",0.862
"1423",0.864
"1424",0.841
"1425",0.872
"1426",0.879
"1427",0.865
"1428",0.871564
"1429",0.855572
"1430",0.8665665
"1431",0.851574
"1432",0.8445775
"1433",0.847576
"1434",0.855572
"1435",0.851
"1436",0.869
"1437",0.863
"1438",0.873
"1439",0.847
"1440",0.86
"1441",0.866
"1442",0.865
"1443",0.856
"1444",0.869
"1445",0.85
"1446",0.861
"1447",0.853
"1448",0.8645675
"1449",0.863568
"1450",0.849575
"1451",0.859
"1452",0.875
"1453",0.88
"1454",0.872
"1455",0.865
"1456",0.861
"1457",0.868
"1458",0.8505745
"1459",0.855572
"1460",0.8665665
"1461",0.868
"1462",0.862
"1463",0.871
"1464",0.85
"1465",0.861
"1466",0.859
"1467",0.874
"1468",0.862
"1469",0.866
"1470",0.854
"1471",0.867
"1472",0.876
"1473",0.866
"1474",0.88
"1475",0.871
"1476",0.864
"1477",0.861
"1478",0.885
"1479",0.857
"1480",0.861
"1481",0.87
"1482",0.836
"1483",0.85
"1484",0.8625685
"1485",0.8565715
"1486",0.864
"1487",0.856
"1488",0.863
"1489",0.862
"1490",0.855
"1491",0.849
"1492",0.875
"1493",0.857
"1494",0.858
"1495",0.877
"1496",0.873
"1497",0.876
"1498",0.842
"1499",0.873
"1500",0.861
"1501",0.866
"1502",0.874
"1503",0.861
"1504",0.857
"1505",0.836
"1506",0.866
"1507",0.87
"1508",0.862
"1509",0.848
"1510",0.87
"1511",0.865
"1512",0.844
"1513",0.87
"1514",0.857
"1515",0.8525735
"1516",0.859
"1517",0.886
"1518",0.851574
"1519",0.871564
"1520",0.851574
"1521",0.8585705
"1522",0.867566
"1523",0.877561
"1524",0.855572
"1525",0.85
"1526",0.876
"1527",0.871
"1528",0.861
"1529",0.868
"1530",0.885
"1531",0.868
"1532",0.87
"1533",0.857571
"1534",0.85957
"1535",0.843
"1536",0.866
"1537",0.866
"1538",0.86
"1539",0.852
"1540",0.842
"1541",0.867
"1542",0.855
"1543",0.857
"1544",0.862
