"","x"
"143",0
"144",0.001
"145",0
"146",0
"147",0
"148",0.000499999999999945
"149",0.00700000000000001
"150",0
"151",0.001
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0.000499999999999945
"161",0.001
"162",0.604
"163",0
"164",0
"165",0
"166",0
"167",0.000499999999999945
"168",0.000499999999999945
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0.001
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0.002
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0.000499999999999945
"203",0
"204",0
"205",0.001
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0.000499999999999945
"219",0.000499999999999945
"220",0.002
"221",0.33
"222",0.000499999999999945
"223",0
"224",0
"225",0
"226",0.000499999999999945
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0.000499999999999945
"235",0
"236",0
"237",0
"238",0.003
"239",0.000499999999999945
"240",0.003
"241",0
"242",0.000499999999999945
"243",0.001
"244",0.000499999999999945
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0.000499999999999945
"251",0.000499999999999945
"252",0.000499999999999945
"253",0.000499999999999945
"254",0
"255",0.000499999999999945
"256",0.000499999999999945
"257",0.001
"258",0.000499999999999945
"259",0.000499999999999945
"260",0
"261",0
"262",0.002
"263",0.000499999999999945
"264",0.000499999999999945
"265",0.000499999999999945
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0.003
"273",0.001
"274",0.003
"275",0
"276",0.000499999999999945
"277",0.000499999999999945
"278",0.000499999999999945
"279",0.000499999999999945
"280",0.000499999999999945
"281",0.000499999999999945
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0.001
"290",0
"291",0.005
"292",0.000499999999999945
"293",0.004
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0.000499999999999945
"300",0
"301",0.002
"302",0.002
"303",0.001
"304",0.002
"305",0.004
"306",0
"307",0.002
"308",0
"309",0.003
"310",0.004
"311",0
"312",0.004
"313",0.0570000000000001
"314",0.003
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0.003
"321",0.002
"322",0
"323",0
"324",0
"325",0.000499999999999945
"326",0.004
"327",0
"328",0
"329",0.001
"330",0.005
"331",0.003
"332",0.000499999999999945
"333",0.004
"334",0.00800000000000001
"335",0
"336",0.003
"337",0.003
"338",0.00600000000000001
"339",0
"340",0
"341",0
"342",0
"343",0.004
"344",0
"345",0.00900000000000001
"346",0.014
"347",0.033
"348",0
"349",0.000499999999999945
"350",0.014
"351",0.001
"352",0.001
"353",0
"354",0
"355",0.044
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0.000499999999999945
"362",0.005
"363",0.01
"364",0
"365",0.001
"366",0.000499999999999945
"367",0.003
"368",0
"369",0.218
"370",0.004
"371",0
"372",0.003
"373",0.001
"374",0.000499999999999945
"375",0.000499999999999945
"376",0.000499999999999945
"377",0.412
"378",0.239
"379",0.00800000000000001
"380",0.00900000000000001
"381",0.146
"382",0.118
"383",0.178
"384",0.11
"385",0.336
"386",0.005
"387",0.00600000000000001
"388",0
"389",0
"390",0.001
"391",0.022
"392",0
"393",0
"394",0.646
"395",0.003
"396",0.001
"397",0
"398",0.000499999999999945
"399",0.000499999999999945
"400",0.000499999999999945
"401",0.801
"402",0.026
"403",0.072
"404",0.0610000000000001
"405",0
"406",0.000499999999999945
"407",0.000499999999999945
"408",0.000499999999999945
"409",0.000499999999999945
"410",0.002
"411",0.000499999999999945
"412",0
"413",0.027
"414",0.000499999999999945
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0.000499999999999945
"421",0
"422",0.001
"423",0.000499999999999945
"424",0.003
"425",0.00700000000000001
"426",0.002
"427",0.005
"428",0.011
"429",0.002
"430",0.00900000000000001
"431",0.004
"432",0.000499999999999945
"433",0.993
"434",0.209
"435",0
"436",0
"437",0.000499999999999945
"438",0
"439",0.000499999999999945
"440",0.000499999999999945
"441",0
"442",0.00900000000000001
"443",0.000499999999999945
"444",0.031
"445",0.041
"446",0
"447",0.021
"448",0
"449",0
"450",0
"451",0.000499999999999945
"452",0
"453",0
"454",0
"455",0.000499999999999945
"456",0
"457",0.005
"458",0.00900000000000001
"459",0.002
"460",0.034
"461",0.003
"462",0.05
"463",0.000499999999999945
"464",0.000499999999999945
"465",1
"466",0.001
"467",0.001
"468",0.000499999999999945
"469",0.000499999999999945
"470",0.000499999999999945
"471",0.034
"472",0.000499999999999945
"473",0.000499999999999945
"474",0
"475",0.000499999999999945
"476",0.00800000000000001
"477",0
"478",0.000499999999999945
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0.001
"488",0
"489",0.00800000000000001
"490",0.052
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0.016
"497",0.141
"498",0.043
"499",0
"500",0.001
"501",0.001
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0.001
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0.003
"525",0.00700000000000001
"526",0
"527",0.001
"528",0.003
"529",0
"530",0.001
"531",0
"532",0.001
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0.003
"548",0
"549",0
"550",0
"551",0.005
"552",0.00800000000000001
"553",0
"554",0
"555",0
"556",0
"557",0.043
"558",0.046
"559",0.056
"560",0
"561",0
